Date_Hour,Beat,OffenseType,Premise,NumOffenses,Hour,day,weekday,month,year,lat_lon,full_address
2010-03-16 13:00:00,10H30,Aggravated Assault,alley,1,13,16,Tuesday,Mar,2010,"(29.7498568, -95.3549511)","2250 Lamar St, Houston, TX 77003, USA"
2010-03-17 02:00:00,10H30,Auto Theft,restaurant/cafeteria parking lot,1,2,17,Wednesday,Mar,2010,"(29.7524653, -95.35478769999999)","850 St Emanuel St, Houston, TX 77003, USA"
2010-03-17 18:00:00,10H30,Theft,commercial parking lot/garage,1,18,17,Wednesday,Mar,2010,"(29.7498379, -95.35065349999999)","850 Live Oak St, Houston, TX 77003, USA"
2010-03-19 16:00:00,10H30,Theft,apartment parking lot,1,16,19,Friday,Mar,2010,"(29.7538189, -95.3537307)","650 St Emanuel St, Houston, TX 77003, USA"
2010-03-20 00:00:00,10H30,Burglary,vacant building (commercial),1,0,20,Saturday,Mar,2010,"(29.7466075, -95.3593348)","2050 Leeland St, Houston, TX 77003, USA"
2010-03-20 00:00:00,10H30,Burglary,vacant building (commercial),1,0,20,Saturday,Mar,2010,"(29.7511977, -95.3561884)","2050 McKinney St, Houston, TX 77003, USA"
2010-03-20 00:00:00,10H30,Theft,road/street/sidewalk,1,0,20,Saturday,Mar,2010,"(29.7466075, -95.3593348)","2050 Leeland St, Houston, TX 77003, USA"
2010-03-20 00:00:00,10H30,Theft,road/street/sidewalk,1,0,20,Saturday,Mar,2010,"(29.7511977, -95.3561884)","2050 McKinney St, Houston, TX 77003, USA"
2010-03-20 12:00:00,10H30,Theft,other parking lot,1,12,20,Saturday,Mar,2010,"(29.7488265, -95.35544519999999)","2250 Dallas St, Houston, TX 77003, USA"
2010-03-20 18:00:00,10H30,Robbery,other/unknown,1,18,20,Saturday,Mar,2010,"(29.753877, -95.3496449)","450 Emancipation Ave, Houston, TX 77003, USA"
2010-03-21 00:00:00,10H30,Theft,bar/night club,1,0,21,Sunday,Mar,2010,"(29.7578815, -95.35042209999999)","2050 Commerce St, Houston, TX 77002, USA"
